時間,設備,值
2024-10-19 09:50:43,SA-01/LED_LEVEL,1
2024-10-19 09:50:44,SA-01/LED_LEVEL,0
2024-10-19 09:50:50,SA-01/LED_LEVEL,2
2024-10-19 09:50:50,SA-01/LED_LEVEL,3
2024-10-19 09:59:26,SA-01/LED_LEVEL,2
2024-10-19 09:59:28,SA-01/LED_LEVEL,0
2024-10-19 09:59:30,SA-01/LED_LEVEL,1
2024-10-19 09:59:41,SA-01/LED_LEVEL,2
2024-10-19 09:59:41,SA-01/LED_LEVEL,3
2024-10-19 09:59:41,SA-01/LED_LEVEL,1
2024-10-19 09:59:41,SA-01/LED_LEVEL,02024-10-19 13:36:16,SA-45/LED_LEVEL,6
2024-10-19 13:36:23,SA-45/LED_LEVEL,7
2024-10-19 13:36:23,SA-45/LED_LEVEL,8
2024-10-19 13:36:58,SA-45/LED_LEVEL,8
2024-10-19 13:37:00,SA-45/LED_LEVEL,7
2024-10-19 13:37:01,SA-45/LED_LEVEL,6
2024-10-19 13:37:01,SA-45/LED_LEVEL,4
2024-10-19 13:37:02,SA-45/LED_LEVEL,3
2024-10-19 13:57:45,SA-45/LED_LEVEL,7
2024-10-19 13:58:11,SA-45/LED_LEVEL,5
2024-10-19 13:59:15,SA-45/LED_LEVEL,4
2024-10-19 13:59:15,SA-45/LED_LEVEL,3
2024-10-19 14:16:01,SA-45/LED_LEVEL,3
2024-10-19 14:16:02,SA-45/TEMPERATURE,26.10811
2024-10-19 14:16:04,SA-45/TEMPERATURE,26.57626
2024-10-19 14:16:06,SA-45/TEMPERATURE,26.10811
2024-10-19 14:16:07,SA-45/LED_LEVEL,2
2024-10-19 14:16:08,SA-45/TEMPERATURE,26.57626
2024-10-19 14:16:08,SA-45/LED_LEVEL,3
2024-10-19 14:16:09,SA-45/LED_LEVEL,4
2024-10-19 14:16:14,SA-45/TEMPERATURE,26.10811
2024-10-19 14:16:16,SA-45/TEMPERATURE,26.57626
2024-10-19 14:16:32,SA-45/LED_LEVEL,3
2024-10-19 14:16:33,SA-45/LED_LEVEL,2
2024-10-19 14:16:34,SA-45/TEMPERATURE,26.10811
2024-10-19 14:16:36,SA-45/TEMPERATURE,26.57626
2024-10-19 14:16:46,SA-45/TEMPERATURE,27.0444
2024-10-19 14:59:22,SA-45/LED_LEVEL,4
2024-10-19 14:59:22,SA-45/TEMPERATURE,26.58
2024-10-19 14:59:22,SA-45/LINE_LEVEL,1
2024-10-19 14:59:34,SA-45/LED_LEVEL,6
2024-10-19 14:59:50,SA-45/LINE_LEVEL,0
2024-10-19 14:59:52,SA-45/LINE_LEVEL,1
2024-10-19 14:59:56,SA-45/LINE_LEVEL,0
2024-10-19 15:00:00,SA-45/TEMPERATURE,27.04
2024-10-19 15:00:02,SA-45/TEMPERATURE,26.58
2024-10-19 15:00:08,SA-45/LINE_LEVEL,1
2024-10-19 15:00:16,SA-45/TEMPERATURE,27.04
2024-10-19 15:00:31,SA-45/LED_LEVEL,7
2024-10-19 15:00:32,SA-45/LED_LEVEL,6
2024-10-19 15:00:33,SA-45/LED_LEVEL,5
2024-10-19 15:01:24,SA-45/LINE_LEVEL,0
2024-10-19 15:01:28,SA-45/LINE_LEVEL,1
2024-10-19 15:01:30,SA-45/TEMPERATURE,26.58
2024-10-19 15:01:34,SA-45/TEMPERATURE,27.04
2024-10-19 15:01:48,SA-45/LINE_LEVEL,0
2024-10-19 15:01:50,SA-45/LINE_LEVEL,1
2024-10-19 15:02:10,SA-45/LINE_LEVEL,0
2024-10-19 15:02:12,SA-45/TEMPERATURE,26.58
2024-10-19 15:02:14,SA-45/TEMPERATURE,27.04
2024-10-19 15:02:16,SA-45/LINE_LEVEL,1
2024-10-19 15:02:20,SA-45/TEMPERATURE,26.58
2024-10-19 15:02:22,SA-45/TEMPERATURE,27.04
2024-10-19 15:02:28,SA-45/TEMPERATURE,26.58
2024-10-19 15:02:30,SA-45/TEMPERATURE,27.04
2024-10-19 15:02:34,SA-45/TEMPERATURE,26.58
2024-10-19 15:02:36,SA-45/TEMPERATURE,27.04
2024-10-19 15:02:48,SA-45/TEMPERATURE,26.58
