時間,設備,值
2024-10-19 15:02:50,SA-45/TEMPERATURE,27.04
2024-10-19 15:02:54,SA-45/TEMPERATURE,26.58
2024-10-19 15:02:56,SA-45/TEMPERATURE,27.04
2024-10-19 15:03:00,SA-45/TEMPERATURE,26.58
2024-10-19 15:03:10,SA-45/TEMPERATURE,27.04
2024-10-19 15:03:18,SA-45/TEMPERATURE,26.58
2024-10-19 15:03:20,SA-45/TEMPERATURE,27.04
2024-10-19 15:03:22,SA-45/TEMPERATURE,26.58
2024-10-19 15:03:26,SA-45/TEMPERATURE,27.04
2024-10-19 15:03:28,SA-45/TEMPERATURE,26.58
2024-10-19 15:03:30,SA-45/TEMPERATURE,27.04
2024-10-19 15:03:40,SA-45/TEMPERATURE,26.58
2024-10-19 15:03:46,SA-45/TEMPERATURE,27.04
2024-10-19 15:03:50,SA-45/TEMPERATURE,26.58
2024-10-19 15:03:52,SA-45/TEMPERATURE,27.04
2024-10-19 15:03:56,SA-45/TEMPERATURE,26.58
2024-10-19 15:03:58,SA-45/TEMPERATURE,27.04
2024-10-19 15:04:02,SA-45/TEMPERATURE,26.58
2024-10-19 15:04:06,SA-45/TEMPERATURE,27.04
2024-10-19 15:04:28,SA-45/TEMPERATURE,26.58
2024-10-19 15:04:30,SA-45/TEMPERATURE,27.04
2024-10-19 15:04:52,SA-45/TEMPERATURE,26.58
2024-10-19 15:04:54,SA-45/TEMPERATURE,27.04
2024-10-19 15:04:56,SA-45/TEMPERATURE,26.58
2024-10-19 15:04:58,SA-45/TEMPERATURE,27.04
2024-10-19 15:05:30,SA-45/LINE_LEVEL,0
2024-10-19 15:05:34,SA-45/TEMPERATURE,26.58
2024-10-19 15:05:38,SA-45/TEMPERATURE,27.04
2024-10-19 15:05:46,SA-45/TEMPERATURE,26.58
2024-10-19 15:05:50,SA-45/TEMPERATURE,27.04
2024-10-19 15:05:56,SA-45/TEMPERATURE,26.58
2024-10-19 15:05:57,SA-45/LED_LEVEL,4
2024-10-19 15:05:58,SA-45/LED_LEVEL,3
2024-10-19 15:06:02,SA-45/LINE_LEVEL,1
2024-10-19 15:06:03,SA-45/LED_LEVEL,4
2024-10-19 15:06:06,SA-45/TEMPERATURE,27.04
2024-10-19 15:06:08,SA-45/TEMPERATURE,26.58
2024-10-19 15:06:12,SA-45/TEMPERATURE,27.04
2024-10-19 15:06:14,SA-45/TEMPERATURE,26.58
2024-10-19 15:06:16,SA-45/TEMPERATURE,27.04
2024-10-19 15:11:22,SA-45/TEMPERATURE,26.58
2024-10-19 15:12:10,SA-45/TEMPERATURE,26.11
2024-10-19 15:12:12,SA-45/TEMPERATURE,26.58
2024-10-19 15:12:30,SA-45/TEMPERATURE,26.11
2024-10-19 15:12:34,SA-45/TEMPERATURE,26.58
2024-10-19 15:13:06,SA-45/TEMPERATURE,26.11
2024-10-19 15:13:08,SA-45/TEMPERATURE,26.58
2024-10-19 15:13:34,SA-45/TEMPERATURE,26.11
2024-10-19 15:13:38,SA-45/TEMPERATURE,26.58
2024-10-19 15:13:58,SA-45/TEMPERATURE,26.11
2024-10-19 15:14:00,SA-45/TEMPERATURE,26.58
2024-10-19 15:14:24,SA-45/TEMPERATURE,26.11
2024-10-19 15:14:26,SA-45/TEMPERATURE,26.58
2024-10-19 15:15:08,SA-45/TEMPERATURE,27.04
2024-10-19 15:15:10,SA-45/TEMPERATURE,26.58
2024-10-19 15:15:46,SA-45/TEMPERATURE,26.11
2024-10-19 15:15:48,SA-45/TEMPERATURE,26.58
2024-10-19 15:16:04,SA-45/TEMPERATURE,26.11
2024-10-19 15:16:08,SA-45/TEMPERATURE,26.58
2024-10-19 15:17:00,SA-45/TEMPERATURE,26.11
2024-10-19 15:17:04,SA-45/TEMPERATURE,26.58
2024-10-19 15:17:26,SA-45/TEMPERATURE,26.11
2024-10-19 15:17:28,SA-45/TEMPERATURE,26.58
2024-10-19 15:17:38,SA-45/TEMPERATURE,26.11
2024-10-19 15:17:40,SA-45/TEMPERATURE,26.58
2024-10-19 15:18:18,SA-45/TEMPERATURE,27.04
2024-10-19 15:18:21,SA-45/TEMPERATURE,26.58
2024-10-19 15:18:34,SA-45/TEMPERATURE,26.11
2024-10-19 15:18:36,SA-45/TEMPERATURE,26.58
2024-10-19 15:20:20,SA-45/TEMPERATURE,26.11
2024-10-19 15:20:23,SA-45/TEMPERATURE,26.58
2024-10-19 15:21:28,SA-45/TEMPERATURE,27.04
2024-10-19 15:21:33,SA-45/TEMPERATURE,26.58
2024-10-19 15:21:42,SA-45/TEMPERATURE,27.04
2024-10-19 15:21:44,SA-45/TEMPERATURE,26.58
2024-10-19 15:22:04,SA-45/TEMPERATURE,27.04
2024-10-19 15:22:06,SA-45/TEMPERATURE,26.58
2024-10-19 15:22:18,SA-45/TEMPERATURE,27.04
2024-10-19 15:22:20,SA-45/TEMPERATURE,26.58
2024-10-19 15:22:28,SA-45/TEMPERATURE,27.04
2024-10-19 15:22:30,SA-45/TEMPERATURE,26.58
2024-10-19 15:22:58,SA-45/TEMPERATURE,27.04
2024-10-19 15:23:00,SA-45/TEMPERATURE,26.58
2024-10-19 15:23:16,SA-45/TEMPERATURE,27.04
2024-10-19 15:23:20,SA-45/TEMPERATURE,26.58
2024-10-19 15:23:22,SA-45/TEMPERATURE,27.04
2024-10-19 15:23:25,SA-45/TEMPERATURE,26.58
2024-10-19 15:23:46,SA-45/TEMPERATURE,27.04
2024-10-19 15:23:48,SA-45/TEMPERATURE,26.58
2024-10-19 15:23:52,SA-45/TEMPERATURE,27.04
2024-10-19 15:23:54,SA-45/TEMPERATURE,26.58
2024-10-19 15:24:00,SA-45/TEMPERATURE,27.04
2024-10-19 15:24:02,SA-45/TEMPERATURE,26.58
2024-10-19 15:24:32,SA-45/TEMPERATURE,27.04
2024-10-19 15:24:34,SA-45/TEMPERATURE,26.58
2024-10-19 15:24:36,SA-45/TEMPERATURE,27.04
2024-10-19 15:24:42,SA-45/TEMPERATURE,26.58
2024-10-19 15:24:46,SA-45/TEMPERATURE,27.04
2024-10-19 15:24:50,SA-45/TEMPERATURE,26.58
2024-10-19 15:24:52,SA-45/TEMPERATURE,27.04
2024-10-19 15:25:00,SA-45/TEMPERATURE,26.58
2024-10-19 15:25:04,SA-45/TEMPERATURE,27.04
2024-10-19 15:25:10,SA-45/TEMPERATURE,26.58
2024-10-19 15:25:12,SA-45/TEMPERATURE,27.04
2024-10-19 15:25:24,SA-45/TEMPERATURE,26.58
2024-10-19 15:25:30,SA-45/TEMPERATURE,27.04
2024-10-19 15:25:32,SA-45/TEMPERATURE,26.58
2024-10-19 15:25:36,SA-45/TEMPERATURE,27.04
2024-10-19 15:25:40,SA-45/TEMPERATURE,26.58
2024-10-19 15:25:42,SA-45/TEMPERATURE,27.04
2024-10-19 15:26:02,SA-45/TEMPERATURE,26.58
2024-10-19 15:26:04,SA-45/TEMPERATURE,27.04
2024-10-19 15:26:08,SA-45/TEMPERATURE,26.58
2024-10-19 15:26:10,SA-45/TEMPERATURE,27.04
2024-10-19 15:26:20,SA-45/TEMPERATURE,26.58
2024-10-19 15:26:22,SA-45/TEMPERATURE,27.04
2024-10-19 15:26:24,SA-45/TEMPERATURE,26.58
2024-10-19 15:26:38,SA-45/TEMPERATURE,27.04
2024-10-19 15:26:44,SA-45/TEMPERATURE,26.58
2024-10-19 15:26:48,SA-45/TEMPERATURE,27.04
2024-10-19 15:26:50,SA-45/TEMPERATURE,26.58
2024-10-19 15:26:56,SA-45/TEMPERATURE,27.04
2024-10-19 15:27:04,SA-45/TEMPERATURE,26.58
2024-10-19 15:27:10,SA-45/TEMPERATURE,27.04
2024-10-19 15:27:12,SA-45/TEMPERATURE,26.58
2024-10-19 15:27:14,SA-45/TEMPERATURE,27.04
2024-10-19 15:27:34,SA-45/TEMPERATURE,26.58
2024-10-19 15:27:36,SA-45/TEMPERATURE,27.04
2024-10-19 15:27:50,SA-45/TEMPERATURE,26.58
2024-10-19 15:27:52,SA-45/TEMPERATURE,27.04
2024-10-19 15:28:12,SA-45/TEMPERATURE,26.58
2024-10-19 15:28:14,SA-45/TEMPERATURE,27.04
2024-10-19 15:28:16,SA-45/TEMPERATURE,26.58
2024-10-19 15:28:18,SA-45/TEMPERATURE,27.04
2024-10-19 15:28:56,SA-45/TEMPERATURE,26.58
2024-10-19 15:28:58,SA-45/TEMPERATURE,27.04
2024-10-19 15:29:56,SA-45/TEMPERATURE,26.58
2024-10-19 15:29:58,SA-45/TEMPERATURE,27.04
2024-10-19 15:30:12,SA-45/TEMPERATURE,26.58
2024-10-19 15:30:14,SA-45/TEMPERATURE,27.04
2024-10-19 15:30:24,SA-45/TEMPERATURE,26.58
2024-10-19 15:30:26,SA-45/TEMPERATURE,27.04
2024-10-19 15:30:54,SA-45/TEMPERATURE,27.51
2024-10-19 15:30:56,SA-45/TEMPERATURE,27.04
2024-10-19 15:31:48,SA-45/TEMPERATURE,26.58
2024-10-19 15:31:50,SA-45/TEMPERATURE,27.04
2024-10-19 15:32:10,SA-45/TEMPERATURE,26.58
2024-10-19 15:32:12,SA-45/TEMPERATURE,27.04
2024-10-19 15:33:54,SA-45/TEMPERATURE,27.51
2024-10-19 15:33:56,SA-45/TEMPERATURE,27.04
2024-10-19 15:34:25,SA-45/TEMPERATURE,26.58
2024-10-19 15:34:26,SA-45/TEMPERATURE,27.04
2024-10-19 15:34:32,SA-45/TEMPERATURE,26.58
2024-10-19 15:34:34,SA-45/TEMPERATURE,27.04
2024-10-19 15:35:34,SA-45/TEMPERATURE,27.51
2024-10-19 15:35:36,SA-45/TEMPERATURE,27.04
2024-10-19 15:35:46,SA-45/TEMPERATURE,26.58
2024-10-19 15:35:48,SA-45/TEMPERATURE,27.04
2024-10-19 15:37:12,SA-45/TEMPERATURE,27.51
2024-10-19 15:37:14,SA-45/TEMPERATURE,27.04
2024-10-19 15:38:14,SA-45/TEMPERATURE,26.58
2024-10-19 15:38:16,SA-45/TEMPERATURE,27.04
2024-10-19 15:38:18,SA-45/TEMPERATURE,26.58
2024-10-19 15:38:20,SA-45/TEMPERATURE,27.04
2024-10-19 15:38:58,SA-45/TEMPERATURE,26.58
2024-10-19 15:39:00,SA-45/TEMPERATURE,27.04
2024-10-19 15:39:08,SA-45/TEMPERATURE,27.51
2024-10-19 15:39:10,SA-45/TEMPERATURE,27.04
2024-10-19 15:40:42,SA-45/TEMPERATURE,27.51
2024-10-19 15:40:44,SA-45/TEMPERATURE,27.04
2024-10-19 15:40:49,SA-45/TEMPERATURE,27.51
2024-10-19 15:40:50,SA-45/TEMPERATURE,27.04
2024-10-19 15:40:54,SA-45/TEMPERATURE,27.51
2024-10-19 15:40:56,SA-45/TEMPERATURE,27.04
2024-10-19 15:41:26,SA-45/TEMPERATURE,26.58
2024-10-19 15:41:28,SA-45/TEMPERATURE,27.04
2024-10-19 15:43:22,SA-45/TEMPERATURE,27.51
2024-10-19 15:43:24,SA-45/TEMPERATURE,27.04
2024-10-19 15:43:40,SA-45/TEMPERATURE,26.58
2024-10-19 15:43:42,SA-45/TEMPERATURE,27.04
2024-10-19 15:45:08,SA-45/TEMPERATURE,27.51
2024-10-19 15:45:10,SA-45/TEMPERATURE,27.04
2024-10-19 15:45:26,SA-45/TEMPERATURE,27.51
2024-10-19 15:45:28,SA-45/TEMPERATURE,27.04
2024-10-19 15:45:32,SA-45/TEMPERATURE,27.51
2024-10-19 15:45:40,SA-45/TEMPERATURE,27.04
2024-10-19 15:45:46,SA-45/TEMPERATURE,27.51
2024-10-19 15:45:48,SA-45/TEMPERATURE,27.04
2024-10-19 15:45:56,SA-45/TEMPERATURE,27.51
2024-10-19 15:45:58,SA-45/TEMPERATURE,27.04
2024-10-19 15:46:16,SA-45/TEMPERATURE,27.51
2024-10-19 15:46:20,SA-45/TEMPERATURE,27.04
2024-10-19 15:46:52,SA-45/TEMPERATURE,27.51
2024-10-19 15:46:54,SA-45/TEMPERATURE,27.04
2024-10-19 15:47:24,SA-45/TEMPERATURE,27.51
2024-10-19 15:47:26,SA-45/TEMPERATURE,27.04
2024-10-19 15:47:46,SA-45/TEMPERATURE,27.51
2024-10-19 15:47:48,SA-45/TEMPERATURE,27.04
2024-10-19 15:47:50,SA-45/TEMPERATURE,27.51
2024-10-19 15:47:52,SA-45/TEMPERATURE,27.04
2024-10-19 15:47:58,SA-45/TEMPERATURE,27.51
2024-10-19 15:48:00,SA-45/TEMPERATURE,27.04
2024-10-19 15:48:02,SA-45/TEMPERATURE,27.51
2024-10-19 15:48:04,SA-45/TEMPERATURE,27.04
2024-10-19 15:48:08,SA-45/TEMPERATURE,27.51
2024-10-19 15:48:10,SA-45/TEMPERATURE,27.04
2024-10-19 15:48:12,SA-45/TEMPERATURE,27.51
2024-10-19 15:48:16,SA-45/TEMPERATURE,27.04
2024-10-19 15:48:18,SA-45/TEMPERATURE,27.51
2024-10-19 15:48:20,SA-45/TEMPERATURE,27.04
2024-10-19 15:48:26,SA-45/TEMPERATURE,27.51
2024-10-19 15:48:28,SA-45/TEMPERATURE,27.04
2024-10-19 15:51:16,SA-45/TEMPERATURE,27.51
2024-10-19 15:51:18,SA-45/TEMPERATURE,27.04
2024-10-19 15:51:30,SA-45/TEMPERATURE,27.51
2024-10-19 15:51:32,SA-45/TEMPERATURE,27.04
2024-10-19 15:51:40,SA-45/TEMPERATURE,27.51
2024-10-19 15:51:42,SA-45/TEMPERATURE,27.04
2024-10-19 15:51:51,SA-45/TEMPERATURE,27.51
2024-10-19 15:51:52,SA-45/TEMPERATURE,27.04
2024-10-19 15:52:08,SA-45/TEMPERATURE,27.51
2024-10-19 15:52:10,SA-45/TEMPERATURE,27.04
2024-10-19 15:52:24,SA-45/TEMPERATURE,26.58
2024-10-19 15:52:26,SA-45/TEMPERATURE,27.04
2024-10-19 15:56:14,SA-45/TEMPERATURE,27.51
2024-10-19 15:56:16,SA-45/TEMPERATURE,27.04
2024-10-19 15:57:42,SA-45/TEMPERATURE,27.51
2024-10-19 15:57:44,SA-45/TEMPERATURE,27.04
2024-10-19 15:57:56,SA-45/TEMPERATURE,27.51
2024-10-19 15:57:58,SA-45/TEMPERATURE,27.04
2024-10-19 15:58:42,SA-45/TEMPERATURE,27.51
2024-10-19 15:58:44,SA-45/TEMPERATURE,27.04
2024-10-19 15:58:54,SA-45/TEMPERATURE,27.51
2024-10-19 15:59:02,SA-45/TEMPERATURE,27.04
2024-10-19 15:59:14,SA-45/TEMPERATURE,27.51
2024-10-19 15:59:16,SA-45/TEMPERATURE,27.04
2024-10-19 15:59:42,SA-45/TEMPERATURE,26.58
2024-10-19 15:59:46,SA-45/TEMPERATURE,27.04
2024-10-19 16:00:16,SA-45/TEMPERATURE,27.51
2024-10-19 16:00:20,SA-45/TEMPERATURE,27.04
2024-10-19 16:00:50,SA-45/TEMPERATURE,27.51
2024-10-19 16:00:52,SA-45/TEMPERATURE,27.04
2024-10-19 16:00:54,SA-45/TEMPERATURE,27.51
2024-10-19 16:00:56,SA-45/TEMPERATURE,27.04
2024-10-19 16:01:10,SA-45/TEMPERATURE,27.51
2024-10-19 16:01:12,SA-45/TEMPERATURE,27.04
2024-10-19 16:01:38,SA-45/TEMPERATURE,27.51
2024-10-19 16:01:40,SA-45/TEMPERATURE,27.04
2024-10-19 16:01:42,SA-45/TEMPERATURE,27.51
2024-10-19 16:01:44,SA-45/TEMPERATURE,27.04
2024-10-19 16:01:56,SA-45/TEMPERATURE,27.51
2024-10-19 16:01:58,SA-45/TEMPERATURE,27.04
2024-10-19 16:02:04,SA-45/TEMPERATURE,27.51
2024-10-19 16:02:06,SA-45/TEMPERATURE,27.04
2024-10-19 16:02:22,SA-45/TEMPERATURE,27.51
2024-10-19 16:02:24,SA-45/TEMPERATURE,27.04
2024-10-19 16:02:32,SA-45/TEMPERATURE,27.51
2024-10-19 16:02:34,SA-45/TEMPERATURE,27.04
2024-10-19 16:02:38,SA-45/TEMPERATURE,27.51
2024-10-19 16:02:40,SA-45/TEMPERATURE,27.04
2024-10-19 16:03:10,SA-45/TEMPERATURE,27.51
2024-10-19 16:03:18,SA-45/TEMPERATURE,27.04
2024-10-19 16:03:22,SA-45/TEMPERATURE,27.51
2024-10-19 16:03:24,SA-45/TEMPERATURE,27.04
2024-10-19 16:03:26,SA-45/TEMPERATURE,27.51
2024-10-19 16:03:30,SA-45/TEMPERATURE,27.04
2024-10-19 16:03:32,SA-45/TEMPERATURE,27.51
2024-10-19 16:03:40,SA-45/TEMPERATURE,27.04
2024-10-19 16:03:48,SA-45/TEMPERATURE,27.51
2024-10-19 16:03:50,SA-45/TEMPERATURE,27.04
2024-10-19 16:03:58,SA-45/TEMPERATURE,27.51
2024-10-19 16:04:00,SA-45/TEMPERATURE,27.04
2024-10-19 16:04:06,SA-45/TEMPERATURE,27.51
2024-10-19 16:04:08,SA-45/TEMPERATURE,27.04
2024-10-19 16:04:14,SA-45/TEMPERATURE,27.51
2024-10-19 16:04:16,SA-45/TEMPERATURE,27.04
2024-10-19 16:05:08,SA-45/TEMPERATURE,27.51
2024-10-19 16:05:10,SA-45/TEMPERATURE,27.04
2024-10-19 16:05:42,SA-45/TEMPERATURE,27.51
2024-10-19 16:05:44,SA-45/TEMPERATURE,27.04
2024-10-19 16:06:40,SA-45/TEMPERATURE,27.51
2024-10-19 16:06:42,SA-45/TEMPERATURE,27.04
2024-10-19 16:07:02,SA-45/TEMPERATURE,27.51
2024-10-19 16:07:04,SA-45/TEMPERATURE,27.04
2024-10-19 16:07:12,SA-45/TEMPERATURE,27.51
2024-10-19 16:07:14,SA-45/TEMPERATURE,27.04
2024-10-19 16:07:22,SA-45/TEMPERATURE,27.51
2024-10-19 16:07:24,SA-45/TEMPERATURE,27.04
2024-10-19 16:07:26,SA-45/TEMPERATURE,27.51
2024-10-19 16:07:28,SA-45/TEMPERATURE,27.04
2024-10-19 16:07:32,SA-45/TEMPERATURE,27.51
2024-10-19 16:07:34,SA-45/TEMPERATURE,27.04
2024-10-19 16:07:36,SA-45/TEMPERATURE,27.51
2024-10-19 16:07:40,SA-45/TEMPERATURE,27.04
2024-10-19 16:07:42,SA-45/TEMPERATURE,27.51
2024-10-19 16:07:58,SA-45/TEMPERATURE,27.04
2024-10-19 16:08:00,SA-45/TEMPERATURE,27.51
2024-10-19 16:08:02,SA-45/TEMPERATURE,27.04
2024-10-19 16:08:04,SA-45/TEMPERATURE,27.51
2024-10-19 16:08:20,SA-45/TEMPERATURE,27.04
2024-10-19 16:08:22,SA-45/TEMPERATURE,27.51
2024-10-19 16:08:28,SA-45/TEMPERATURE,27.04
2024-10-19 16:08:32,SA-45/TEMPERATURE,27.51
2024-10-19 16:08:34,SA-45/TEMPERATURE,27.04
2024-10-19 16:08:48,SA-45/TEMPERATURE,27.51
2024-10-19 16:08:50,SA-45/TEMPERATURE,27.04
2024-10-19 16:08:56,SA-45/TEMPERATURE,27.51
